"x-acc","y-acc","z-acc","time-acc"
"-1.8818425","4.1706996","7.855376","106538725454696"
"-1.8555063","4.1611223","7.881712","106538947905477"
"-1.8579005","4.1706996","7.9990277","106538957899800"
"-1.8650831","4.2305546","7.9391727","106538967889748"
"-1.9249382","4.2544966","8.042124","106538977915633"
"-1.9201498","4.283227","8.027759","106538987889331"
"-1.8818425","4.24492","8.0684595","106538997918081"
"-1.8938135","4.2521024","8.14268","106539007890061"
"-1.8890251","4.237737","8.319851","106539017911675"
"-1.9057846","4.247314","8.348581","106539027888811"
"-1.910573","4.1706996","8.39886","106539037916519"
"-1.9536686","4.1611223","8.331821","106539047804123"
"-1.9680338","4.225766","8.312668","106539057792248"
"-2.006341","4.144363","8.190564","106539068021154"
"-1.99437","4.1515455","8.090008","106539078009696"
"-1.99437","4.1515455","8.090008","106539087983654"
"-2.0039468","4.1659107","8.1642275","106539098001727"
"-2.0039468","4.1659107","8.1642275","106539107990738"
"-2.0159178","4.1156325","8.075643","106539117827560"
"-2.0159178","4.1156325","8.075643","106539128009852"
"-1.9512744","4.1683054","8.137892","106539137801258"
"-1.9512744","4.1683054","8.137892","106539148048810"
"-2.0039468","4.1419687","8.264784","106539157944592"
"-2.0087352","4.134786","8.331821","106539167940685"
"-1.9728222","4.120421","8.324639","106539177805008"
"-1.9680338","4.0821137","8.255207","106539187975269"
"-2.0350714","4.156334","8.48984","106539198080790"
"-2.0350714","4.156334","8.48984","106539207963810"
"-2.0039468","4.0892963","8.578424","106539218277717"
"-2.0039468","4.0892963","8.578424","106539228047769"
"-2.0135236","4.0797195","8.487445","106539238018081"
"-2.0350714","4.0701427","8.24563","106539247930998"
"-2.078167","4.0557775","8.221688","106539257828758"
"-2.0374656","4.132392","8.111555","106539268116102"
"-1.9895816","4.098873","8.111555","106539277808238"
"-1.9752164","4.1156325","8.145074","106539287792612"
"-1.8674773","4.1036615","8.154651","106539297991415"
"-1.8650831","4.096479","8.121132","106539308051310"
"-1.8459295","4.1036615","8.0445175","106539317856883"
"-1.8794483","4.1395745","8.123527","106539327985894"
"-1.8579005","4.1132383","8.202535","106539337844331"
"-1.8674773","4.10845","8.267179","106539347936883"
"-1.9057846","4.086902","8.214506","106539357823654"
"-1.922544","4.110844","8.214506","106539367787352"
"-1.946486","4.0557775","8.24563","106539377805321"
"-1.9512744","4.098873","8.231265","106539387965842"
"-1.9919758","4.0701427","8.305486","106539397806310"
"-1.9776106","4.050989","8.480263","106539407794540"
"-2.0231004","4.0078936","8.415619","106539417958758"
"-2.054225","4.015076","8.415619","106539427942821"
"-1.9919758","4.0294414","8.453926","106539438018081"
"-2.0135236","4.039018","8.324639","106539447940217"
"-2.0015526","4.036624","8.3868885","106539457818758"
"-1.9776106","4.0677485","8.329428","106539467929435"
"-1.970428","4.0773253","8.319851","106539477996050"
"-1.9847932","4.072537","8.3390045","106539488016050"
"-1.9177556","4.0581717","8.317456","106539497809904"
"-1.9177556","4.010288","8.24563","106539508038914"
"-1.9512744","3.9719806","8.26239","106539517934227"
"-1.9369092","3.9839516","8.185776","106539528006414"
"-1.9297266","3.9959226","8.288726","106539538068862"
"-1.9488802","4.0078936","8.207323","106539547931675"
"-1.970428","4.012682","8.23366","106539557805529"
"-1.9321208","4.027047","8.228871","106539567934123"
"-1.9847932","4.024653","8.248025","106539577800789"
"-1.9776106","4.0174704","8.35337","106539587929175"
"-1.9919758","3.9863458","8.322245","106539597803342"
"-1.9967642","4.048595","8.259995","106539608042456"
"-1.9560628","4.0342298","8.2169","106539617796050"
"-1.9536686","4.0342298","8.295909","106539627806935"
"-1.9512744","4.012682","8.317456","106539638005842"
"-1.9512744","4.012682","8.317456","106539648174852"
"-2.0039468","4.039018","8.415619","106539658101623"
"-2.0039468","4.039018","8.415619","106539668080373"
"-1.9536686","4.027047","8.465898","106539677798446"
"-2.0015526","4.003105","8.389283","106539687937092"
"-1.9847932","3.9360676","8.319851","106539697822248"
"-1.9728222","3.9671922","8.252813","106539707934852"
"-1.9009962","3.9576154","8.166622","106539717847717"
"-1.8507179","4.015076","8.111555","106539727933862"
"-1.8483237","4.10845","8.1163435","106539737925633"
"-1.8483237","4.10845","8.1163435","106539747996623"
"-1.8579005","4.0533834","8.3150625","106539757802664"
"-1.8579005","4.0533834","8.3150625","106539767993706"
"-1.8986019","4.0342298","8.418014","106539777924175"
"-1.8986019","4.0342298","8.418014","106539787979539"
"-1.910573","4.0318356","8.341399","106539798009591"
"-1.910573","4.0318356","8.341399","106539808182300"
"-1.9512744","4.0677485","8.212111","106539818001727"
"-1.9512744","4.0677485","8.212111","106539828097456"
"-1.8435353","3.9815574","8.3150625","106539838021154"
"-1.8435353","3.9815574","8.3150625","106539848002560"
"-1.9153614","4.039018","8.267179","106539857961987"
"-1.9153614","4.039018","8.267179","106539867986987"
"-1.9752164","4.0462008","8.1881695","106539878010737"
"-1.9752164","4.0462008","8.1881695","106539888002456"
"-1.934515","4.024653","8.276755","106539897940216"
"-1.958457","4.024653","8.209718","106539907984487"
"-1.9632454","4.0773253","8.180987","106539917989904"
"-1.9632454","4.0773253","8.180987","106539927988914"
"-1.9369092","4.024653","8.252813","106539937992977"
"-1.9369092","4.024653","8.252813","106539947993654"
"-1.9536686","4.084508","8.23366","106539957997039"
"-1.9536686","4.084508","8.23366","106539967989904"
"-1.9776106","4.060566","8.291121","106539978001206"
"-1.9776106","4.060566","8.291121","106539987985060"
"-2.0231004","4.120421","8.214506","106539997956571"
"-1.9249382","4.096479","8.303091","106540008001050"
"-1.9560628","4.086902","8.264784","106540018021206"
"-1.9560628","4.086902","8.264784","106540027987091"
"-1.9728222","4.06296","8.259995","106540038035425"
"-1.9728222","4.06296","8.259995","106540047991571"
"-1.9512744","4.1060557","8.255207","106540058026779"
"-1.9512744","4.1060557","8.255207","106540067999279"
"-1.946486","4.120421","8.279149","106540077910268"
"-1.9321208","4.1491513","8.228871","106540087989643"
"-1.8770541","4.144363","8.231265","106540098029956"
"-1.8674773","4.0821137","8.204929","106540108003498"
"-1.9273324","4.1371803","8.130709","106540117996571"
"-1.8698715","4.122815","8.070854","106540127996831"
"-1.8171991","4.1252093","8.080431","106540138004904"
"-1.8794483","4.1012673","8.298303","106540147991623"
"-1.8483237","4.0294414","8.358158","106540158033758"
"-1.9033904","4.0438066","8.446744","106540167984383"
"-1.9009962","4.024653","8.456321","106540177964748"
"-1.9871874","4.0557775","8.432379","106540187998966"
"-2.0614076","4.0821137","8.319851","106540197919956"
"-2.0446482","4.1036615","8.274361","106540207991779"
"-2.0949266","4.010288","8.109161","106540218007612"
"-2.0470424","4.015076","8.104373","106540227982456"
"-2.1092918","3.9983168","8.123527","106540237995477"
"-2.099715","3.976769","8.118738","106540248000685"
"-2.0015526","3.9839516","8.121132","106540257955425"
"-2.0374656","3.98874","8.24563","106540267987925"
"-2.0135236","3.9336734","8.295909","106540278025008"
"-1.8914193","3.9312792","8.343793","106540288001623"
"-1.8291701","3.904943","8.401254","106540297946831"
"-1.8818425","3.9001546","8.480263","106540307994539"
"-1.9369092","3.928885","8.51857","106540317987612"
"-1.970428","3.9073372","8.439561","106540328129331"
"-1.9536686","3.8714242","8.377312","106540337959695"
"-1.9440918","3.8474822","8.37013","106540347992195"
"-1.8842367","3.9240966","8.3868885","106540358032716"
"-1.8842367","3.8642416","8.358158","106540368005216"
"-1.8148049","3.9121256","8.542512","106540377942143"
"-1.8124107","3.9719806","8.537724","106540387994747"
"-1.7549498","4.015076","8.611943","106540397984904"
"-1.7405846","4.050989","8.542512","106540408003445"
"-1.7669208","4.0342298","8.463503","106540417944175"
"-1.7286136","4.012682","8.401254","106540428000581"
"-1.6687586","4.039018","8.310274","106540438016779"
"-1.6448165","3.9935284","8.231265","106540447943029"
"-1.5179238","4.0222588","8.149862","106540457802925"
"-1.5514427","4.0318356","8.101978","106540467938914"
"-1.5945383","4.003105","8.24563","106540477812091"
"-1.6759412","4.015076","8.267179","106540488024643"
"-1.6783354","4.0078936","8.310274","106540497966258"
"-1.7908629","3.9863458","8.374918","106540507810945"
"-1.8746599","4.003105","8.341399","106540518029227"
"-1.9512744","4.0414124","8.161834","106540527999800"
"-1.922544","4.024653","8.135497","106540537996675"
"-1.9776106","4.0533834","8.243237","106540547997768"
"-2.006341","4.048595","8.327033","106540557804539"
"-2.0590134","4.0078936","8.372523","106540568052404"
"-2.0494366","4.0653543","8.418014","106540577787872"
"-1.9919758","4.0342298","8.449138","106540587984487"
"-2.1164744","4.050989","8.47308","106540598019799"
"-2.1021092","4.084508","8.516175","106540608014904"
"-2.1164744","3.9911342","8.499416","106540618031727"
"-2.2361844","4.0462008","8.508993","106540628002404"
"-2.2960393","4.050989","8.542512","106540638000685"
"-2.3199813","4.0653543","8.439561","106540647981883"
"-2.2625206","4.0701427","8.307879","106540657986518"
"-2.1883004","4.0078936","8.192958","106540668019799"
"-2.1883004","4.039018","8.118738","106540677951206"
"-2.1883004","4.0821137","7.345411","106540687984852"
"-1.9009962","4.27365","7.429208","106540698010633"
"-1.8459295","4.3718123","7.314286","106540708038133"
"-1.8459295","4.3718123","7.314286","106540717802977"
"-1.7429788","4.1276035","7.750031","106540727943810"
"-1.7788919","4.1539397","7.867347","106540737947039"
"-1.9177556","4.1515455","8.061277","106540747998758"
"-2.0590134","4.156334","8.528147","106540758548185"
"-2.0590134","4.156334","8.528147","106540768047247"
"-2.0853498","4.1395745","8.6095495","106540777937612"
"-2.2170308","4.1946416","8.676587","106540787787977"
"-2.2218192","4.292804","8.573636","106540797939122"
"-2.0829554","4.1659107","8.396465","106540808112195"
"-2.15957","4.1611223","8.269572","106540817989018"
"-2.2481554","4.27365","7.9128366","106540827984747"
"-2.1068976","4.271256","7.785944","106540837962456"
"-1.9536686","4.2401314","7.8410106","106540848050633"
"-1.7501614","4.1252093","7.836222","106540857817299"
"-1.6160861","4.0581717","7.7811556","106540867965424"
"-1.6376339","4.050989","8.0924015","106540878061206"
"-1.5873557","3.9719806","8.3821","106540888096362"
"-1.5921441","3.9121256","8.590396","106540897989070"
"-1.6639702","3.9193082","8.781932","106540907951101"
"-1.7381904","3.9576154","8.779537","106540917805581"
"-1.7788919","3.9935284","8.525752","106540928070476"
"-1.7956513","4.0773253","8.312668","106540937834279"
"-1.8100165","4.1012673","7.9966335","106540947965685"
"-1.757344","4.110844","7.9343843","106540960572143"
"-1.7357962","4.060566","7.9032598","106540967971049"
"-1.7357962","4.060566","7.9032598","106540977994956"
"-1.7645266","3.9576154","7.884106","106540988186362"
"-1.8291701","3.881001","8.00621","106540998039747"
"-1.8507179","3.8522706","7.9846625","106541007797247"
"-1.982399","3.857059","8.580819","106541017827560"
