"x-gyro","y-gyro","z-gyro","time-gyro"
"0.07343154","-0.038312107","-0.086202234","61564959491375"
"-0.25115716","0.14629766","-0.09504862","61565279418041"
"-0.2575425","0.13778386","-0.0982413","61565289465958"
"-0.24583602","0.12927006","-0.10143397","61565299576843"
"-0.22561574","0.13352695","-0.10356242","61565309344656"
"-0.21178082","0.14204076","-0.099305525","61565319578979"
"-0.2107166","0.14629766","-0.08653482","61565329342833"
"-0.20752391","0.16013259","-0.07482834","61565339680437"
"-0.2064597","0.17503174","-0.07269989","61565349532937"
"-0.2149735","0.1984447","-0.093984395","61565362430541"
"-0.2149735","0.1984447","-0.093984395","61565369466114"
"-0.22135885","0.17928864","-0.09611285","61565379506114"
"-0.2192304","0.14736189","-0.09079172","61565389508093"
"-0.21710195","0.13352695","-0.088663265","61565399767312"
"-0.21816617","0.12607738","-0.09079172","61565409341739"
"-0.2320011","0.11224245","-0.08972749","61565419833770"
"-0.22987264","0.10904978","-0.093984395","61565429369812"
"-0.22667998","0.11649936","-0.09717707","61565439496010"
"-0.22667998","0.122884706","-0.09611285","61565449349551"
"-0.2320011","0.11224245","-0.09611285","61565459577937"
"-0.23093687","0.10479288","-0.09504862","61565469348718"
"-0.23093687","0.09840753","-0.102498196","61565479489135"
"-0.22774419","0.09521485","-0.108883545","61565489581843"
"-0.22242308","0.107985556","-0.1152689","61565499493458"
"-0.22455153","0.11862781","-0.11846157","61565509490437"
"-0.23519377","0.12820584","-0.11207622","61565519800124"
"-0.2405149","0.14629766","-0.102498196","61565529481114"
"-0.2405149","0.16438949","-0.0982413","61565539485593"
"-0.23838645","0.17290328","-0.09717707","61565549467989"
"-0.23945068","0.17183906","-0.09504862","61565559471947"
"-0.23306532","0.17396751","-0.09717707","61565569342520"
"-0.22561574","0.17077485","-0.10462664","61565579448145"
"-0.21603772","0.15374723","-0.11207622","61565589513614"
"-0.2107166","0.14416921","-0.11739735","61565599588926"
"-0.22242308","0.12607738","-0.12165425","61565609341114"
"-0.236258","0.11330668","-0.12165425","61565619685333"
"-0.24264336","0.11649936","-0.12059002","61565629557260"
"-0.2490287","0.11862781","-0.1195258","61565642279239"
"-0.25222138","0.11543513","-0.11314045","61565649669031"
"-0.24583602","0.12714161","-0.10356242","61565659599395"
"-0.23945068","0.13139851","-0.093984395","61565669525489"
"-0.23838645","0.12714161","-0.088663265","61565679485697"
"-0.236258","0.13139851","-0.088663265","61565689347312"
"-0.23732223","0.13778386","-0.09292017","61565699525697"
"-0.23732223","0.13778386","-0.09611285","61565709338562"
"-0.23306532","0.1399123","-0.099305525","61565719484916"
"-0.22455153","0.14310499","-0.10675509","61565729353406"
"-0.2234873","0.14310499","-0.108883545","61565739627416"
"-0.22880843","0.14416921","-0.102498196","61565749333249"
"-0.23945068","0.14949033","-0.09292017","61565759475072"
"-0.24583602","0.15906836","-0.08440637","61565769349447"
"-0.2405149","0.16119681","-0.07802102","61565779613666"
"-0.21816617","0.16119681","-0.07802102","61565789341270"
"-0.19475323","0.16119681","-0.085470594","61565799618614"
"-0.18836787","0.15268302","-0.09717707","61565809344812"
"-0.19688167","0.13778386","-0.108883545","61565819568926"
"-0.21178082","0.12394893","-0.11739735","61565829338822"
"-0.23412955","0.10372865","-0.12591115","61565839572520"
"-0.25647828","0.0845726","-0.12697537","61565849346010"
"-0.2617994","0.09521485","-0.12484692","61565859669551"
"-0.25647828","0.12394893","-0.1195258","61565869341687"
"-0.25434983","0.14310499","-0.10994777","61565879333562"
"-0.25647828","0.15268302","-0.10356242","61565889341947"
"-0.25434983","0.16226104","-0.0982413","61565899605437"
"-0.24583602","0.16119681","-0.09504862","61565909859864"
"-0.23945068","0.14842612","-0.0982413","61565919619812"
"-0.2405149","0.12927006","-0.099305525","61565930067260"
"-0.23519377","0.111178234","-0.0982413","61565939831478"
"-0.2234873","0.114370905","-0.10143397","61565949341062"
"-0.20965236","0.13884808","-0.10462664","61565959607572"
"-0.20113857","0.15693991","-0.10356242","61565969342364"
"-0.20326702","0.16226104","-0.10462664","61565979623301"
"-0.22029462","0.15800413","-0.10356242","61565989338405"
"-0.2405149","0.16332527","-0.0982413","61565999614864"
"-0.24370758","0.18460977","-0.09079172","61566009344135"
"-0.2022028","0.3091241","-0.12910382","61566019530124"
"-0.23732223","0.0718019","-0.19934268","61566029475541"
"-0.2703132","-0.16552031","-0.17699395","61566039572416"
"-0.24264336","-0.08251075","-0.12484692","61566049342207"
"-0.20326702","0.021783315","-0.102498196","61566059524135"
"-0.18943208","0.102664426","-0.06844299","61566069360228"
"-0.21816617","0.16545372","-0.034387786","61566079519968"
"-0.2660563","0.21334384","-0.022681307","61566089504707"
"-0.3001115","0.22930722","-0.017360184","61566099501062"
"-0.30968952","0.2027016","-0.02480976","61566109511582"
"-0.28308392","0.16013259","-0.05035116","61566119800593"
"-0.23519377","0.13459119","-0.08227792","61566129460645"
"-0.2064597","0.107985556","-0.102498196","61566139529864"
"-0.20858815","0.0803157","-0.09717707","61566149516270"
"-0.21390927","0.1016002","-0.07695679","61566159737364"
"-0.20539546","0.16438949","-0.054608062","61566169342728"
"-0.18623942","0.20802271","-0.047158487","61566179513405"
"-0.17027605","0.21440807","-0.05780074","61566189910593"
"-0.17559716","0.19631624","-0.08121369","61566199455593"
"-0.19581744","0.17290328","-0.100369744","61566209429395"
"-0.2192304","0.14629766","-0.108883545","61566219344239"
"-0.22029462","0.094150625","-0.11207622","61566229700384"
