"x-rot","y-rot","z-rot","rot-time"
"0.014745772","-0.13628462","-0.99050254","82685810541819"
"0.0161854","-0.13648213","-0.99044365","82685820642704"
"0.017306548","-0.13639088","-0.99042857","82685830672809"
"0.018026466","-0.1360887","-0.9904522","82685840427861"
"0.018385757","-0.13570534","-0.9904972","82685850683329"
"0.018456958","-0.13535863","-0.9905456","82685861267340"
"0.018338425","-0.13499713","-0.9906001","82685870401559"
"0.017993867","-0.13454022","-0.99067074","82685880396142"
"0.017515214","-0.13402958","-0.9907497","82685890554371"
"0.017025843","-0.1335936","-0.9908182","82685900392913"
"0.016700497","-0.13332647","-0.99086136","82685910639371"
"0.01648445","-0.13319488","-0.990886","82685920626246"
"0.016226614","-0.13312507","-0.9909051","82685930597704"
"0.016002223","-0.13300975","-0.99093175","82685940391194"
"0.015861535","-0.13278","-0.99097365","82685950705413"
"0.015669912","-0.13241273","-0.9910349","82685960615569"
"0.015335226","-0.13199395","-0.99110407","82685970687340"
"0.014877949","-0.13164818","-0.991164","82685980666402"
"0.014336326","-0.13141952","-0.9912081","82685990761402"
"0.013772381","-0.13129981","-0.9912367","82686000962340"
"0.013280447","-0.131273","-0.9912501","82686012264736"
"0.012818022","-0.13121161","-0.99126667","82686020375517"
"0.012404275","-0.13102347","-0.9912985","82686030539163"
"0.0121795805","-0.13067898","-0.99134785","82686040697704"
"0.012149598","-0.13017066","-0.99141586","82686050639319"
"0.012343751","-0.1296348","-0.9914843","82686060607600"
"0.012616858","-0.12928475","-0.99152696","82686070817131"
"0.012814637","-0.1291794","-0.99153835","82686080441975"
"0.012959089","-0.12932838","-0.99151725","82686090568798"
"-0.01312085","0.12963508","0.99147505","82686100397756"
"-0.013268839","0.12988299","0.99144053","82686111001402"
"-0.013414193","0.13005884","0.99141556","82686120990881"
"-0.01357778","0.1301282","0.99140424","82686130534736"
"-0.013823357","0.13016903","0.9913954","82686140581038"
"-0.014222081","0.13035947","0.9913647","82686150512600"
"-0.014638375","0.13069943","0.99131376","82686160387131"
"-0.014969029","0.13112006","0.99125314","82686170381559"
"-0.0151147945","0.13144328","0.991208","82686180637496"
"-0.015090138","0.1320117","0.9911326","82686190614371"
"-0.014501122","0.13259232","0.9910628","82686200711350"
"-0.013382046","0.13250002","0.9910901","82686210397965"
"-0.012359272","0.13196005","0.9911752","82686220409996"
